index,Length,stNum,sqNum,attack,timeAllowedtoLive,numDatSetEntries,boolean_1,boolean_2,boolean_3,time_diff,time_from_start,sqNum_diff,stNum_diff,timestamp_diff,boolean_1_diff,boolean_2_diff,boolean_3_diff,Length_diff,freq
0,149,15,183,0,2000,3,True,True,True,0.0,0.0,0,0,0.0,0,0,0,0,0.0
1,149,15,184,0,2000,3,True,True,True,1.0000059604644775,1.0000059604644775,1,0,0.0,0,0,0,0,0.9999940395710494
2,149,15,185,0,2000,3,True,True,True,1.0000388622283936,2.000044822692871,1,0,0.0,0,0,0,0,0.9999611392818205
3,149,15,186,0,2000,3,True,True,True,1.0000760555267334,3.0001208782196045,1,0,0.0,0,0,0,0,0.9999239502572699
4,149,15,187,0,2000,3,True,True,True,1.000111103057861,4.000231981277466,1,0,0.0,0,0,0,0,0.9998889092846571
5,149,15,188,0,2000,3,True,True,True,1.000046968460083,5.000278949737549,1,0,0.0,0,0,0,0,0.9999530337458497
6,149,15,189,0,2000,3,True,True,True,1.0000028610229492,6.000281810760498,1,0,0.0,0,0,0,0,0.9999971389852362
7,149,15,190,0,2000,3,True,True,True,1.0000100135803225,7.00029182434082,1,0,0.0,0,0,0,0,0.9999899865199483
8,149,15,191,0,2000,3,True,True,True,1.000331163406372,8.000622987747192,1,0,0.0,0,0,0,0,0.9996689462265232
9,149,15,192,0,2000,3,True,True,True,1.000065803527832,9.000688791275024,1,0,0.0,0,0,0,0,0.9999342008019874
10,149,15,193,0,2000,3,True,True,True,0.9999921321868896,10.000680923461914,1,0,0.0,0,0,0,0,1.0000078678750133
11,149,15,194,0,2000,3,True,True,True,1.0000379085540771,11.000718832015991,1,0,0.0,0,0,0,0,0.9999620928829268
12,149,15,195,0,2000,3,True,True,True,0.9999699592590332,12.000688791275024,1,0,0.0,0,0,0,0,1.00003004164344
13,149,15,196,0,2000,3,True,True,True,1.0000011920928955,13.00068998336792,1,0,0.0,0,0,0,0,0.9999988079085256
14,149,15,197,0,2000,3,True,True,True,1.0000808238983154,14.000770807266235,1,0,0.0,0,0,0,0,0.9999191826336592
15,149,15,198,0,2000,3,True,True,True,1.000014066696167,15.000784873962402,1,0,0.0,0,0,0,0,0.9999859335017022
16,149,15,199,0,2000,3,True,True,True,1.0008649826049805,16.001649856567383,1,0,0.0,0,0,0,0,0.9991357649433101
17,149,15,200,0,2000,3,True,True,True,1.0001649856567385,17.00181484222412,1,0,0.0,0,0,0,0,0.9998350415590382
18,149,15,201,0,2000,3,True,True,True,1.0000221729278564,18.001837015151978,1,0,0.0,0,0,0,0,0.9999778275637714
19,149,15,202,0,2000,3,True,True,True,1.0000238418579102,19.001860857009888,1,0,0.0,0,0,0,0,0.9999761587105105
20,149,15,203,0,2000,3,True,True,True,1.0000150203704834,20.00187587738037,1,0,0.0,0,0,0,0,0.9999849798551247
21,149,15,204,0,2000,3,True,True,True,1.0002939701080322,21.002169847488403,1,0,0.0,0,0,0,0,0.9997061162849952
22,149,15,205,0,2000,3,True,True,True,0.9999639987945556,22.00213384628296,1,0,0.0,0,0,0,0,1.000036002501578
23,149,15,206,0,2000,3,True,True,True,1.0000770092010498,23.00221085548401,1,0,0.0,0,0,0,0,0.9999229967289106
24,147,16,0,0,12,3,True,True,True,0.3225409984588623,23.32475185394287,-206,1,203359799982.0,0,0,0,-2,3.1003810516434007
25,147,16,1,0,12,3,True,True,True,0.0037860870361328,23.328537940979004,1,0,0.0,0,0,0,0,264.1249370277087
26,148,16,2,0,2000,3,True,True,True,0.0043070316314697,23.332844972610477,1,0,0.0,0,0,0,1,232.17846664821624
27,148,16,3,0,2000,3,True,True,True,0.0085878372192382,23.341432809829712,1,0,0.0,0,0,0,0,116.44375347029539
28,147,17,0,0,12,3,True,True,True,0.1830511093139648,23.52448391914368,-3,1,199500024.0,0,0,0,-1,5.46295514814294
29,147,17,1,0,12,3,True,True,True,0.0034918785095214,23.5279757976532,1,0,0.0,0,0,0,0,286.3788065000752
30,148,17,2,0,2000,3,True,True,True,0.0042531490325927,23.53222894668579,1,0,0.0,0,0,0,1,235.1199058243216
31,148,17,3,0,2000,3,True,True,True,0.0083398818969726,23.540568828582764,1,0,0.0,0,0,0,0,119.90577472841703
32,148,17,4,0,2000,3,True,True,True,1.0000360012054443,24.540604829788208,1,0,0.0,0,0,0,0,0.9999640000905958
33,148,17,5,0,2000,3,True,True,True,1.0000221729278564,25.540627002716064,1,0,0.0,0,0,0,0,0.9999778275637714
34,148,17,6,0,2000,3,True,True,True,1.0000147819519043,26.54064178466797,1,0,0.0,0,0,0,0,0.9999852182665986
35,148,17,7,0,2000,3,True,True,True,1.0000231266021729,27.54066491127014,1,0,0.0,0,0,0,0,0.9999768739326546
36,148,17,8,0,2000,3,True,True,True,1.0000159740447998,28.54068088531494,1,0,0.0,0,0,0,0,0.9999840262103662
37,148,17,9,0,2000,3,True,True,True,1.0001449584960938,29.540825843811035,1,0,0.0,0,0,0,0,0.9998550625138263
