index,Length,stNum,sqNum,attack,timeAllowedtoLive,numDatSetEntries,boolean_1,integer_1,integer_2,integer_3,integer_4,time_diff,time_from_start,sqNum_diff,stNum_diff,timestamp_diff,boolean_1_diff,Length_diff,freq
0,131,1,0,0,1500,5,True,1,1,0,1,0.0,0.0,0,0,0.0,0,0,0.0
1,131,1,1,0,1500,5,True,1,1,0,1,1.0464572530000007,1.0464572530000007,1,0,0.0,0,0,0.955605207124499
2,131,1,2,0,1500,5,True,1,1,0,1,1.0771807550000003,2.123638008000001,1,0,0.0,0,0,0.9283493001135169
3,131,1,3,0,1500,5,True,1,1,0,1,1.0448996919999995,3.168537700000001,1,0,0.0,0,0,0.9570296629008868
4,131,1,4,0,1500,5,True,1,1,0,1,1.0355014100000002,4.204039110000001,1,0,0.0,0,0,0.9657157299283637
5,131,1,5,0,1500,5,True,1,1,0,1,1.0654194619999997,5.2694585720000005,1,0,0.0,0,0,0.9385974591855168
6,131,1,6,0,1500,5,True,1,1,0,1,1.074287224999999,6.343745797,1,0,0.0,0,0,0.9308497548223204
7,131,1,7,0,1500,5,True,1,1,0,1,1.1216264710000008,7.465372268,1,0,0.0,0,0,0.8915624103525631
8,131,1,8,0,1500,5,True,1,1,0,1,1.070711997,8.536084265,1,0,0.0,0,0,0.9339579670367698
9,131,1,9,0,1500,5,True,1,1,0,1,1.0549834880000013,9.591067753,1,0,0.0,0,0,0.947882134056679
10,131,1,10,0,1500,5,True,1,1,0,1,1.0856762429999982,10.676743996,1,0,0.0,0,0,0.9210849057880708
11,131,1,11,0,1500,5,True,1,1,0,1,1.0475002410000016,11.724244237,1,0,0.0,0,0,0.9546537183087851
12,131,1,12,0,1500,5,True,1,1,0,1,1.0713315570000006,12.795575794,1,0,0.0,0,0,0.9334178513328338
13,131,1,13,0,1500,5,True,1,1,0,1,1.0591676549999995,13.854743449,1,0,0.0,0,0,0.944137592645803
14,131,1,14,0,1500,5,True,1,1,0,1,1.0440019899999982,14.898745439,1,0,0.0,0,0,0.957852580338474
15,131,1,15,0,1500,5,True,1,1,0,1,1.0772503120000003,15.975995751,1,0,0.0,0,0,0.9282893575063543
16,131,1,16,0,1500,5,True,1,1,0,1,1.0510941329999994,17.027089884,1,0,0.0,0,0,0.9513895745434634
17,131,1,17,0,1500,5,True,1,1,0,1,1.0550326200000022,18.082122504,1,0,0.0,0,0,0.9478379919665403
18,131,1,18,0,1500,5,True,1,1,0,1,1.051429744,19.133552248,1,0,0.0,0,0,0.9510858958542074
19,131,1,19,0,1500,5,True,1,1,0,1,1.073649582999998,20.207201831,1,0,0.0,0,0,0.9314025878031771
20,131,1,20,0,1500,5,True,1,1,0,1,1.0633220680000015,21.270523899,1,0,0.0,0,0,0.9404488349243952
21,131,1,21,0,1500,5,True,1,1,0,1,1.0333892409999983,22.30391314,1,0,0.0,0,0,0.9676895794195729
22,131,1,22,0,1500,5,True,1,1,0,1,1.0389819580000008,23.342895098,1,0,0.0,0,0,0.9624806208617525
23,131,1,23,0,1500,5,True,1,1,0,1,1.0652901760000013,24.408185274,1,0,0.0,0,0,0.93871136947385
24,131,1,24,0,1500,5,True,1,1,0,1,1.0646437219999996,25.472828996,1,0,0.0,0,0,0.9392813570735548
25,131,1,25,0,1500,5,True,1,1,0,1,1.0626893899999956,26.535518386,1,0,0.0,0,0,0.9410087363345221
26,131,1,26,0,1500,5,True,1,1,0,1,1.0561957070000003,27.591714093,1,0,0.0,0,0,0.946794228922197
27,131,1,27,0,1500,5,True,1,1,0,1,0.9972141600000056,28.588928253,1,0,0.0,0,0,1.002793622585538
28,131,1,28,0,1500,5,True,1,1,0,1,1.0822744529999966,29.671202706,1,0,0.0,0,0,0.9239800470463504
29,131,1,29,0,1500,5,True,1,1,0,1,1.0861961829999984,30.757398889,1,0,0.0,0,0,0.9206440011951335
30,131,1,30,0,1500,5,True,1,1,0,1,1.0615416320000008,31.818940521,1,0,0.0,0,0,0.9420261719890786
31,131,1,31,0,1500,5,True,1,1,0,1,1.0637509190000003,32.88269144,1,0,0.0,0,0,0.94006969313838
32,131,1,32,0,1500,5,True,1,1,0,1,1.064572806000001,33.947264246,1,0,0.0,0,0,0.9393439268445855
33,131,1,33,0,1500,5,True,1,1,0,1,1.058459472000003,35.005723718000006,1,0,0.0,0,0,0.9447692863577088
34,131,1,34,0,1500,5,True,1,1,0,1,1.0369475099999974,36.042671228,1,0,0.0,0,0,0.9643689679142993
35,131,1,35,0,1500,5,True,1,1,0,1,1.0496407010000013,37.092311929000005,1,0,0.0,0,0,0.9527069587214861
36,131,1,36,0,1500,5,True,1,1,0,1,1.0599987490000018,38.152310678000006,1,0,0.0,0,0,0.9433973398019532
37,131,1,37,0,1500,5,True,1,1,0,1,1.061109445999996,39.213420124,1,0,0.0,0,0,0.9424098558067155
38,131,1,38,0,1500,5,True,1,1,0,1,1.0611883660000032,40.274608490000006,1,0,0.0,0,0,0.9423397692997295
39,131,1,39,0,1500,5,True,1,1,0,1,1.0557954229999993,41.330403913000005,1,0,0.0,0,0,0.9471531872704478
40,131,1,40,0,1500,5,True,1,1,0,1,1.7054621209999965,43.035866034,1,0,0.0,0,0,0.5863513400190036
41,131,1,41,0,1500,5,True,1,1,0,1,0.3773784239999997,43.413244458,1,0,0.0,0,0,2.649860024853993
42,131,1,42,0,1500,5,True,1,1,0,1,1.1064391510000036,44.519683609000005,1,0,0.0,0,0,0.9038002669158954
