index,Length,stNum,sqNum,attack,timeAllowedtoLive,numDatSetEntries,boolean_1,boolean_2,bitstring_1,bitstring_2,time_diff,time_from_start,sqNum_diff,stNum_diff,timestamp_diff,boolean_1_diff,boolean_2_diff,bitstring_1_diff,bitstring_2_diff,Length_diff,freq
0,147,7,151,0,5500,5,True,True,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0
1,147,7,152,0,5500,5,True,True,0,0,4.901936,4.901936,1,0,0.0,0,0,0,0,0,0.2040010314292149
2,147,7,153,0,5500,5,True,True,0,0,4.902562,9.804498,1,0,0.0,0,0,0,0,0,0.2039749828763002
3,147,7,154,0,5500,5,True,True,0,0,4.901930999999999,14.706429,1,0,0.0,0,0,0,0,0,0.2040012395115313
4,147,7,155,0,5500,5,True,True,0,0,4.910751000000001,19.61718,1,0,0.0,0,0,0,0,0,0.20363484118824182
5,147,7,156,0,5500,5,True,True,0,0,4.893699999999999,24.51088,1,0,0.0,0,0,0,0,0,0.20434436111735502
6,147,7,157,0,5500,5,True,True,0,0,4.902532000000004,29.413412000000005,1,0,0.0,0,0,0,0,0,0.20397623105774712
7,147,7,158,0,5500,5,True,True,0,0,4.902030999999994,34.315442999999995,1,0,0.0,0,0,0,0,0,0.20399707794585575
8,147,7,159,0,5500,5,True,True,0,0,4.902209000000006,39.217652,1,0,0.0,0,0,0,0,0,0.20398967077903019
9,147,7,160,0,5500,5,True,True,0,0,4.902251999999997,44.119904,1,0,0.0,0,0,0,0,0,0.20398788148793667
10,147,7,161,0,5500,5,True,True,0,0,4.902203999999998,49.022108,1,0,0.0,0,0,0,0,0,0.20398987883817166
11,147,7,162,0,5500,5,True,True,0,0,4.902304999999998,53.924413,1,0,0.0,0,0,0,0,0,0.20398567612582252
12,147,7,163,0,5500,5,True,True,0,0,4.902268000000007,58.826681,1,0,0.0,0,0,0,0,0,0.2039872157132165
13,147,7,164,0,5500,5,True,True,0,0,4.902006999999998,63.728688,1,0,0.0,0,0,0,0,0,0.2039980767061329
14,147,7,165,0,5500,5,True,True,0,0,4.9024,68.631088,1,0,0.0,0,0,0,0,0,0.20398172323759792
15,147,7,166,0,5500,5,True,True,0,0,4.902107999999998,73.533196,1,0,0.0,0,0,0,0,0,0.20399387365598642
16,147,7,167,0,5500,5,True,True,0,0,4.902324000000007,78.43552000000001,1,0,0.0,0,0,0,0,0,0.20398488553592103
17,147,7,168,0,5500,5,True,True,0,0,4.902196999999987,83.337717,1,0,0.0,0,0,0,0,0,0.20399017012168272
18,147,7,169,0,5500,5,True,True,0,0,4.902449000000004,88.240166,1,0,0.0,0,0,0,0,0,0.2039796844393484
19,147,7,170,0,5500,5,True,True,0,0,4.902034,93.1422,1,0,0.0,0,0,0,0,0,0.2039969531015085
20,147,7,171,0,5500,5,True,True,0,0,4.902383999999998,98.044584,1,0,0.0,0,0,0,0,0,0.20398238897646542
21,147,7,172,0,5500,5,True,True,0,0,4.9019150000000025,102.946499,1,0,0.0,0,0,0,0,0,0.20400190537779614
22,147,7,173,0,5500,5,True,True,0,0,4.9023559999999975,107.848855,1,0,0.0,0,0,0,0,0,0.20398355402994
23,147,7,174,0,5500,5,True,True,0,0,4.902099000000007,112.750954,1,0,0.0,0,0,0,0,0,0.20399424817817807
24,147,7,175,0,5500,5,True,True,0,0,4.902812999999995,117.653767,1,0,0.0,0,0,0,0,0,0.20396454035673012
25,147,7,176,0,5500,5,True,True,0,0,4.901824000000005,122.555591,1,0,0.0,0,0,0,0,0,0.2040056925748454
26,147,7,177,0,5500,5,True,True,0,0,4.902175,127.457766,1,0,0.0,0,0,0,0,0,0.20399108558955975
27,146,16,0,1,5500,5,True,True,0,0,-4.975352000000001,122.482414,-177,9,66936983970761.0,0,0,0,0,-1,-0.20099080426872307
28,147,7,178,0,5500,5,True,True,0,0,9.877674999999996,132.360089,178,-9,-66936983970761.0,0,0,0,0,1,0.1012383987122476
29,147,7,179,0,5500,5,True,True,0,0,4.902175999999997,137.262265,1,0,0.0,0,0,0,0,0,0.20399104397720533
30,146,16,1,1,5500,5,True,True,0,0,-10.739688,126.522577,-178,9,66936983970761.0,0,0,0,0,-1,-0.09311257459248351
31,147,7,180,0,5500,5,True,True,0,0,15.639756000000006,142.162333,179,-9,-66936983970761.0,0,0,0,0,1,0.06393961644925916
32,147,7,181,0,5500,5,True,True,0,0,4.902160000000009,147.064493,1,0,0.0,0,0,0,0,0,0.20399170977691428
33,146,16,2,1,5500,5,True,True,0,0,-16.498047000000014,130.56644599999998,-179,9,66936983970761.0,0,0,0,0,-1,-0.06061323500896798
34,147,7,182,0,5500,5,True,True,0,0,21.400440000000003,151.966886,180,-9,-66936983970761.0,0,0,0,0,1,0.046728011199769715
35,147,7,183,0,5500,5,True,True,0,0,4.902034000000015,156.86892,1,0,0.0,0,0,0,0,0,0.20399695310150787
36,146,16,3,1,5500,5,True,True,0,0,-22.258414000000016,134.610506,-180,9,66936983970761.0,0,0,0,0,-1,-0.044926830815528875
37,147,7,184,0,5500,5,True,True,0,0,27.166394999999994,161.77690099999998,181,-9,-66936983970761.0,0,0,0,0,1,0.03681018405276078
38,147,7,185,0,5500,5,True,True,0,0,4.896517000000017,166.673418,1,0,0.0,0,0,0,0,0,0.20422680039709787
39,147,7,186,0,5500,5,True,True,0,0,4.902501999999998,171.57592,1,0,0.0,0,0,0,0,0,0.20397747925447055
40,147,7,187,0,5500,5,True,True,0,0,4.902142999999995,176.478063,1,0,0.0,0,0,0,0,0,0.20399241719386826
41,147,7,188,0,5500,5,True,True,0,0,4.902317000000011,181.38038,1,0,0.0,0,0,0,0,0,0.20398517680517148
42,147,7,189,0,5500,5,True,True,0,0,4.902678999999978,186.283059,1,0,0.0,0,0,0,0,0,0.2039701151146148
43,147,7,190,0,5500,5,True,True,0,0,4.901712000000003,191.184771,1,0,0.0,0,0,0,0,0,0.20401035393348269
44,147,7,191,0,5500,5,True,True,0,0,4.902070000000009,196.086841,1,0,0.0,0,0,0,0,0,0.20399545498126265
45,147,7,192,0,5500,5,True,True,0,0,4.902408000000008,200.989249,1,0,0.0,0,0,0,0,0,0.20398139036979343
46,147,7,193,0,5500,5,True,True,0,0,4.902096,205.891345,1,0,0.0,0,0,0,0,0,0.20399437301921464
47,147,7,194,0,5500,5,True,True,0,0,4.902408999999977,210.793754,1,0,0.0,0,0,0,0,0,0.2039813487613956
48,147,7,195,0,5500,5,True,True,0,0,4.901922000000013,215.695676,1,0,0.0,0,0,0,0,0,0.2040016140607699
49,147,7,196,0,5500,5,True,True,0,0,4.902489000000003,220.598165,1,0,0.0,0,0,0,0,0,0.2039780201444612
50,147,7,197,0,5500,5,True,True,0,0,4.902051999999998,225.500217,1,0,0.0,0,0,0,0,0,0.20399620403863536
51,147,7,198,0,5500,5,True,True,0,0,4.902267999999992,230.402485,1,0,0.0,0,0,0,0,0,0.20398721571321715
52,146,16,0,1,5500,5,True,True,0,0,-19.680007999999987,210.722477,-198,9,66936983970761.0,0,0,0,0,-1,-0.05081298747439537
53,147,7,199,0,5500,5,True,True,0,0,24.582330999999986,235.304808,199,-9,-66936983970761.0,0,0,0,0,1,0.04067962472720754
54,147,7,200,0,5500,5,True,True,0,0,4.902093000000008,240.206901,1,0,0.0,0,0,0,0,0,0.20399449786040338
55,146,16,1,1,5500,5,True,True,0,0,-25.448158000000006,214.758743,-199,9,66936983970761.0,0,0,0,0,-1,-0.03929557494888234
56,147,7,201,0,5500,5,True,True,0,0,30.35028300000002,245.109026,200,-9,-66936983970761.0,0,0,0,0,1,0.0329486219288301
57,147,7,202,0,5500,5,True,True,0,0,4.902325999999988,250.011352,1,0,0.0,0,0,0,0,0,0.20398480231628874
58,147,7,203,0,5500,5,True,True,0,0,4.902395999999982,254.913748,1,0,0.0,0,0,0,0,0,0.20398188967190814
59,146,16,2,1,5500,5,True,True,0,0,-36.11935899999997,218.794389,-201,9,66936983970761.0,0,0,0,0,-1,-0.02768598412834516
60,147,7,204,0,5500,5,True,True,0,0,41.02142700000002,259.81581600000004,202,-9,-66936983970761.0,0,0,0,0,1,0.02437750398102922
61,146,16,3,1,5500,5,True,True,0,0,-36.98543200000003,222.830384,-201,9,66936983970761.0,0,0,0,0,-1,-0.027037672562537574
62,146,16,4,1,5500,5,True,True,0,0,4.036242000000016,226.866626,1,0,0.0,0,0,0,0,0,0.24775521388459765
63,146,16,5,1,5500,5,True,True,0,0,4.035856999999993,230.902483,1,0,0.0,0,0,0,0,0,0.2477788484577134
64,146,16,6,1,5500,5,True,True,0,0,4.032399999999996,234.934883,1,0,0.0,0,0,0,0,0,0.2479912707072713
65,146,16,7,1,5500,5,True,True,0,0,4.035738000000009,238.970621,1,0,0.0,0,0,0,0,0,0.24778615460171044
66,146,16,8,1,5500,5,True,True,0,0,4.039760000000001,243.010381,1,0,0.0,0,0,0,0,0,0.2475394577895716
67,146,16,9,1,5500,5,True,True,0,0,4.036259000000001,247.04664,1,0,0.0,0,0,0,0,0,0.24775417038401146
68,146,16,10,1,5500,5,True,True,0,0,4.035639000000003,251.082279,1,0,0.0,0,0,0,0,0,0.24779223315068546
