index,Length,stNum,sqNum,attack,timeAllowedtoLive,numDatSetEntries,boolean_1,integer_1,integer_2,integer_3,integer_4,time_diff,time_from_start,sqNum_diff,stNum_diff,timestamp_diff,boolean_1_diff,Length_diff,freq
0,131,1,0,0,1500,5,True,1,1,0,1.0,0.0,0.0,0,0,0.0,0,0,0.0
1,131,1,1,0,1500,5,True,1,1,0,1.0,1.0464572530000007,1.0464572530000007,1,0,0.0,0,0,0.955605207124499
2,131,1,2,0,1500,5,True,1,1,0,1.0,1.0771807550000003,2.123638008000001,1,0,0.0,0,0,0.9283493001135169
3,131,1,3,0,1500,5,True,1,1,0,1.0,1.0448996919999995,3.168537700000001,1,0,0.0,0,0,0.9570296629008868
4,131,1,4,0,1500,5,True,1,1,0,1.0,1.0355014100000002,4.204039110000001,1,0,0.0,0,0,0.9657157299283637
5,131,1,5,0,1500,5,True,1,1,0,1.0,1.0654194619999997,5.2694585720000005,1,0,0.0,0,0,0.9385974591855168
6,131,1,6,0,1500,5,True,1,1,0,1.0,1.074287224999999,6.343745797,1,0,0.0,0,0,0.9308497548223204
7,131,1,7,0,1500,5,True,1,1,0,1.0,1.1216264710000008,7.465372268,1,0,0.0,0,0,0.8915624103525631
8,131,1,8,0,1500,5,True,1,1,0,1.0,1.070711997,8.536084265,1,0,0.0,0,0,0.9339579670367698
9,131,1,9,0,1500,5,True,1,1,0,1.0,1.0549834880000013,9.591067753,1,0,0.0,0,0,0.947882134056679
10,131,1,10,0,1500,5,True,1,1,0,1.0,1.0856762429999982,10.676743996,1,0,0.0,0,0,0.9210849057880708
11,131,1,11,0,1500,5,True,1,1,0,1.0,1.0475002410000016,11.724244237,1,0,0.0,0,0,0.9546537183087851
12,131,1,12,0,1500,5,True,1,1,0,1.0,1.0713315570000006,12.795575794,1,0,0.0,0,0,0.9334178513328338
13,131,1,13,0,1500,5,True,1,1,0,1.0,1.0591676549999995,13.854743449,1,0,0.0,0,0,0.944137592645803
14,131,1,14,0,1500,5,True,1,1,0,1.0,1.0440019899999982,14.898745439,1,0,0.0,0,0,0.957852580338474
15,131,1,15,0,1500,5,True,1,1,0,1.0,1.0772503120000003,15.975995751,1,0,0.0,0,0,0.9282893575063543
16,131,1,16,0,1500,5,True,1,1,0,1.0,1.0510941329999994,17.027089884,1,0,0.0,0,0,0.9513895745434634
17,131,1,17,0,1500,5,True,1,1,0,1.0,1.0550326200000022,18.082122504,1,0,0.0,0,0,0.9478379919665403
18,131,1,18,0,1500,5,True,1,1,0,1.0,1.051429744,19.133552248,1,0,0.0,0,0,0.9510858958542074
19,131,1,19,0,1500,5,True,1,1,0,1.0,1.073649582999998,20.207201831,1,0,0.0,0,0,0.9314025878031771
20,131,1,20,0,1500,5,True,1,1,0,1.0,1.0633220680000015,21.270523899,1,0,0.0,0,0,0.9404488349243952
21,131,1,21,0,1500,5,True,1,1,0,1.0,1.0333892409999983,22.30391314,1,0,0.0,0,0,0.9676895794195729
