index,Length,stNum,sqNum,attack,timeAllowedtoLive,numDatSetEntries,boolean_1,boolean_2,boolean_3,boolean_4,integer_1,time_diff,time_from_start,sqNum_diff,stNum_diff,timestamp_diff,boolean_1_diff,boolean_2_diff,boolean_3_diff,boolean_4_diff,Length_diff,freq
0,128,1,0,0,2000,5,True,True,True,True,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0
1,128,1,1,0,2000,5,True,True,True,True,1,1.050326557,1.050326557,1,0,0.0,0,0,0,0,0,0.9520848476461021
2,128,1,2,0,2000,5,True,True,True,True,1,1.0739248999999995,2.124251457,1,0,0.0,0,0,0,0,0,0.9311638085679924
3,128,1,3,0,2000,5,True,True,True,True,1,1.048122987000001,3.172374444000001,1,0,0.0,0,0,0,0,0,0.9540865074071684
4,128,1,4,0,2000,5,True,True,True,True,1,1.0354693140000002,4.207843758000001,1,0,0.0,0,0,0,0,0,0.9657456638063152
5,128,1,5,0,2000,5,True,True,True,True,1,1.061047369999999,5.268891128,1,0,0.0,0,0,0,0,0,0.9424649909833912
6,128,1,6,0,2000,5,True,True,True,True,1,1.083746360000001,6.352637488000001,1,0,0.0,0,0,0,0,0,0.9227251291529127
7,128,1,7,0,2000,5,True,True,True,True,1,1.1168527299999995,7.469490218000001,1,0,0.0,0,0,0,0,0,0.8953731975029514
8,128,1,8,0,2000,5,True,True,True,True,1,1.061721069999999,8.531211288,1,0,0.0,0,0,0,0,0,0.9418669632316903
9,128,1,9,0,2000,5,True,True,True,True,1,1.064899370000001,9.596110658,1,0,0.0,0,0,0,0,0,0.9390558659077798
10,128,1,10,0,2000,5,True,True,True,True,1,1.0749571399999986,10.671067798,1,0,0.0,0,0,0,0,0,0.9302696477740511
11,128,1,11,0,2000,5,True,True,True,True,1,1.060330320000002,11.731398118,1,0,0.0,0,0,0,0,0,0.943102334374441
12,128,1,12,0,2000,5,True,True,True,True,1,1.0659784899999991,12.797376608,1,0,0.0,0,0,0,0,0,0.9381052332491258
13,128,1,13,0,2000,5,True,True,True,True,1,1.0472579400000015,13.844634548000002,1,0,0.0,0,0,0,0,0,0.9548745937414411
14,128,1,14,0,2000,5,True,True,True,True,1,1.058494239999998,14.903128788,1,0,0.0,0,0,0,0,0,0.9447382538425546
15,128,1,15,0,2000,5,True,True,True,True,1,1.0719233199999998,15.975052108,1,0,0.0,0,0,0,0,0,0.9329025512757761
16,128,1,16,0,2000,5,True,True,True,True,1,1.0546060600000011,17.029658168,1,0,0.0,0,0,0,0,0,0.9482213671330496
17,128,1,17,0,2000,5,True,True,True,True,1,1.0530310400000005,18.082689208,1,0,0.0,0,0,0,0,0,0.9496396231586863
