index,Length,stNum,sqNum,attack,timeAllowedtoLive,numDatSetEntries,boolean_1,boolean_2,boolean_3,time_diff,time_from_start,sqNum_diff,stNum_diff,timestamp_diff,boolean_1_diff,boolean_2_diff,boolean_3_diff,Length_diff,freq
0,149,117,261,0,2000,3,True,True,True,0.0,0.0,0,0,0.0,0,0,0,0,0.0
1,149,117,262,0,2000,3,True,True,True,1.0000779628753662,1.0000779628753662,1,0,0.0,0,0,0,0,0.9999220432023699
2,149,117,263,0,2000,3,True,True,True,1.00003981590271,2.000117778778076,1,0,0.0,0,0,0,0,0.999960185682533
3,149,117,264,0,2000,3,True,True,True,0.9999790191650392,3.0000967979431152,1,0,0.0,0,0,0,0,1.0000209812751655
4,149,117,265,0,2000,3,True,True,True,1.0000979900360107,4.000194787979126,1,0,0.0,0,0,0,0,0.9999020195650956
5,149,117,266,0,2000,3,True,True,True,1.000028133392334,5.00022292137146,1,0,0.0,0,0,0,0,0.9999718673991315
6,149,117,267,0,2000,3,True,True,True,1.000011920928955,6.000234842300415,1,0,0.0,0,0,0,0,0.9999880792131518
7,149,117,268,0,2000,3,True,True,True,1.0000431537628174,7.000277996063232,1,0,0.0,0,0,0,0,0.9999568480993495
8,149,117,269,0,2000,3,True,True,True,0.9999988079071044,8.000276803970337,1,0,0.0,0,0,0,0,1.0000011920943168
9,149,117,270,0,2000,3,True,True,True,1.0,9.000276803970337,1,0,0.0,0,0,0,0,1.0
10,149,117,271,0,2000,3,True,True,True,1.0000250339508057,10.000301837921144,1,0,0.0,0,0,0,0,0.9999749666758774
11,149,117,272,0,2000,3,True,True,True,1.0000231266021729,11.000324964523315,1,0,0.0,0,0,0,0,0.9999768739326546
12,149,117,273,0,2000,3,True,True,True,0.9999938011169434,12.00031876564026,1,0,0.0,0,0,0,0,1.000006198921483
13,149,117,274,0,2000,3,True,True,True,1.0003390312194824,13.00065779685974,1,0,0.0,0,0,0,0,0.9996610836837296
14,149,117,275,0,2000,3,True,True,True,1.0000391006469729,14.000696897506714,1,0,0.0,0,0,0,0,0.999960900881828
15,149,117,276,0,2000,3,True,True,True,1.0002050399780271,15.00090193748474,1,0,0.0,0,0,0,0,0.999795002054747
