index,Length,stNum,sqNum,attack,timeAllowedtoLive,numDatSetEntries,boolean_1,time_diff,time_from_start,sqNum_diff,stNum_diff,timestamp_diff,boolean_1_diff,Length_diff,freq
0,144,1,13,0,4000,1,True,0.0,0.0,0,0,0.0,0,0,0.0
1,144,1,14,0,4000,1,True,1.9999608993530276,1.9999608993530276,1,0,0.0,0,0,0.5000097753528544
2,144,1,15,0,4000,1,True,2.000096082687378,4.000056982040405,1,0,0.0,0,0,0.4999759804820854
3,144,1,16,0,4000,1,True,2.000018119812012,6.000075101852417,1,0,0.0,0,0,0.4999954700880375
4,144,1,17,0,4000,1,True,2.000005960464477,8.000081062316895,1,0,0.0,0,0,0.4999985098883216
5,144,1,18,0,4000,1,True,1.999989032745361,10.000070095062256,1,0,0.0,0,0,0.5000027418286949
6,144,1,19,0,4000,1,True,2.000034809112549,12.000104904174805,1,0,0.0,0,0,0.4999912978733195
7,144,1,20,0,4000,1,True,1.9999589920043943,14.0000638961792,1,0,0.0,0,0,0.5000102522091127
8,144,1,21,0,4000,1,True,2.00003719329834,16.00010108947754,1,0,0.0,0,0,0.4999907018483295
9,144,1,22,0,4000,1,True,2.0000269412994385,18.000128030776978,1,0,0.0,0,0,0.49999326476586836
10,144,1,23,0,4000,1,True,2.000032901763916,20.000160932540894,1,0,0.0,0,0,0.49999177469433453
11,144,1,24,0,4000,1,True,2.0000171661376958,22.00017809867859,1,0,0.0,0,0,0.49999570850241026
12,144,1,25,0,4000,1,True,2.0000109672546387,24.000189065933228,1,0,0.0,0,0,0.49999725820137536
13,144,1,26,0,4000,1,True,1.9999399185180664,26.00012898445129,1,0,0.0,0,0,0.50001502082172
14,144,1,27,0,4000,1,True,2.0000240802764893,28.000153064727783,1,0,0.0,0,0,0.49999398000335926
15,144,1,28,0,4000,1,True,2.0000360012054443,30.000189065933228,1,0,0.0,0,0,0.4999909998606468
16,144,1,29,0,4000,1,True,2.0000669956207275,32.000256061553955,1,0,0.0,0,0,0.49998325165585095
17,144,1,30,0,4000,1,True,2.0000088214874268,34.00026488304138,1,0,0.0,0,0,0.4999977946378706
18,144,1,31,0,4000,1,True,2.0000100135803223,36.000274896621704,1,0,0.0,0,0,0.49999749661745335
19,144,1,32,0,4000,1,True,2.000030040740967,38.00030493736267,1,0,0.0,0,0,0.49999248992756234
20,144,1,33,0,4000,1,True,1.9999849796295168,40.00028991699219,1,0,0.0,0,0,0.5000037551208224
21,144,1,34,0,4000,1,True,2.000035047531128,42.00032496452332,1,0,0.0,0,0,0.49999123827075653
22,144,1,35,0,4000,1,True,2.000019073486328,44.00034403800965,1,0,0.0,0,0,0.49999523167389226
23,144,1,36,0,4000,1,True,2.000002861022949,46.00034689903259,1,0,0.0,0,0,0.4999992847452859
24,144,1,37,0,4000,1,True,2.0000159740448,48.00036287307739,1,0,0.0,0,0,0.49999600652069603
25,144,1,38,0,4000,1,True,2.000033140182495,50.00039601325989,1,0,0.0,0,0,0.4999917150916579
26,144,1,39,0,4000,1,True,2.0000100135803223,52.00040602684021,1,0,0.0,0,0,0.49999749661745335
27,144,1,40,0,4000,1,True,2.0000040531158447,54.000410079956055,1,0,0.0,0,0,0.4999989867230923
28,144,1,41,0,4000,1,True,2.0000128746032715,56.000422954559326,1,0,0.0,0,0,0.49999678136990144
