index,Length,stNum,sqNum,attack,timeAllowedtoLive,numDatSetEntries,bitstring_1,bitstring_2,bitstring_3,bitstring_4,bitstring_5,bitstring_6,floatvalue_1,floatvalue_2,floatvalue_3,floatvalue_4,floatvalue_5,floatvalue_6,time_diff,time_from_start,sqNum_diff,stNum_diff,timestamp_diff,bitstring_1_diff,bitstring_2_diff,bitstring_3_diff,bitstring_4_diff,bitstring_5_diff,bitstring_6_diff,Length_diff,freq
0,236,450,6,0,3000,12,0,0,0,0,0,0,401.556,400.691,400.644,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0
1,236,450,7,0,3000,12,0,0,0,0,0,0,401.556,400.691,400.644,0,0,0,0.320131,0.320131,1,0,0.0,0,0,0,0,0,0,0,3.1237212266228513
2,236,450,8,0,3000,12,0,0,0,0,0,0,401.556,400.691,400.644,0,0,0,0.6407830000000001,0.960914,1,0,0.0,0,0,0,0,0,0,0,1.5605907147973648
3,236,450,9,0,3000,12,0,0,0,0,0,0,401.556,400.691,400.644,0,0,0,1.280346,2.24126,1,0,0.0,0,0,0,0,0,0,0,0.7810388754289856
4,236,450,10,0,3000,12,0,0,0,0,0,0,401.556,400.691,400.644,0,0,0,2.000338,4.241598,1,0,0.0,0,0,0,0,0,0,0,0.49991551427808695
5,236,450,11,0,3000,12,0,0,0,0,0,0,401.556,400.691,400.644,0,0,0,1.9997350000000005,6.241333,1,0,0.0,0,0,0,0,0,0,0,0.5000662587792881
6,236,451,0,0,3000,12,0,0,0,0,0,0,401.332,400.918,401.36,0,0,0,1.93758,8.178913,-11,1,8500000000.0,0,0,0,0,0,0,0,0.5161077220037366
7,236,451,1,0,3000,12,0,0,0,0,0,0,401.332,400.918,401.36,0,0,0,0.0102709999999994,8.189184,1,0,0.0,0,0,0,0,0,0,0,97.36150326161604
8,236,451,2,0,3000,12,0,0,0,0,0,0,401.332,400.918,401.36,0,0,0,0.0108720000000008,8.200056,1,0,0.0,0,0,0,0,0,0,0,91.97939661515144
9,236,451,3,0,3000,12,0,0,0,0,0,0,401.332,400.918,401.36,0,0,0,0.0199069999999998,8.219963,1,0,0.0,0,0,0,0,0,0,0,50.23358617571759
10,236,451,4,0,3000,12,0,0,0,0,0,0,401.332,400.918,401.36,0,0,0,0.0404630000000008,8.260426,1,0,0.0,0,0,0,0,0,0,0,24.713936188616273
11,236,451,5,0,3000,12,0,0,0,0,0,0,401.332,400.918,401.36,0,0,0,0.0796089999999996,8.340035,1,0,0.0,0,0,0,0,0,0,0,12.56139381225747
12,236,451,6,0,3000,12,0,0,0,0,0,0,401.332,400.918,401.36,0,0,0,0.1607479999999999,8.500783,1,0,0.0,0,0,0,0,0,0,0,6.220917212033746
13,236,451,7,0,3000,12,0,0,0,0,0,0,401.332,400.918,401.36,0,0,0,0.3196449999999995,8.820428,1,0,0.0,0,0,0,0,0,0,0,3.1284706471241583
14,236,451,8,0,3000,12,0,0,0,0,0,0,401.332,400.918,401.36,0,0,0,0.6399699999999999,9.460398,1,0,0.0,0,0,0,0,0,0,0,1.5625732456208887
15,236,451,9,0,3000,12,0,0,0,0,0,0,401.332,400.918,401.36,0,0,0,1.2804870000000008,10.740885,1,0,0.0,0,0,0,0,0,0,0,0.7809528718370428
16,236,451,10,0,3000,12,0,0,0,0,0,0,401.332,400.918,401.36,0,0,0,2.000121,12.741006,1,0,0.0,0,0,0,0,0,0,0,0.4999697518300143
17,236,452,0,0,3000,12,0,0,0,0,0,0,401.233,400.741,400.72,0,0,0,0.9378949999999991,13.678901,-10,1,5500000000.0,0,0,0,0,0,0,0,1.0662174337212598
18,236,452,1,0,3000,12,0,0,0,0,0,0,401.233,400.741,400.72,0,0,0,0.0102340000000005,13.689135,1,0,0.0,0,0,0,0,0,0,0,97.7135040062489
19,236,452,2,0,3000,12,0,0,0,0,0,0,401.233,400.741,400.72,0,0,0,0.0102270000000004,13.699362,1,0,0.0,0,0,0,0,0,0,0,97.78038525471408
20,236,452,3,0,3000,12,0,0,0,0,0,0,401.233,400.741,400.72,0,0,0,0.019741999999999,13.719104,1,0,0.0,0,0,0,0,0,0,0,50.65342923716192
21,236,452,4,0,3000,12,0,0,0,0,0,0,401.233,400.741,400.72,0,0,0,0.0409030000000001,13.760007,1,0,0.0,0,0,0,0,0,0,0,24.448084492579948
22,236,452,5,0,3000,12,0,0,0,0,0,0,401.233,400.741,400.72,0,0,0,0.0803700000000002,13.840377,1,0,0.0,0,0,0,0,0,0,0,12.442453651860115
23,236,452,6,0,3000,12,0,0,0,0,0,0,401.233,400.741,400.72,0,0,0,0.1598640000000006,14.000241,1,0,0.0,0,0,0,0,0,0,0,6.255317019466523
24,236,452,7,0,3000,12,0,0,0,0,0,0,401.233,400.741,400.72,0,0,0,0.3201129999999992,14.320354,1,0,0.0,0,0,0,0,0,0,0,3.123896873916406
25,236,452,8,0,3000,12,0,0,0,0,0,0,401.233,400.741,400.72,0,0,0,0.6397530000000007,14.960107,1,0,0.0,0,0,0,0,0,0,0,1.563103260164468
26,236,452,9,0,3000,12,0,0,0,0,0,0,401.233,400.741,400.72,0,0,0,1.2801170000000006,16.240224,1,0,0.0,0,0,0,0,0,0,0,0.7811785953940144
27,236,452,10,0,3000,12,0,0,0,0,0,0,401.233,400.741,400.72,0,0,0,2.000632999999997,18.240857,1,0,0.0,0,0,0,0,0,0,0,0.4998418000702785
28,236,452,11,0,3000,12,0,0,0,0,0,0,401.233,400.741,400.72,0,0,0,2.000949000000002,20.241806,1,0,0.0,0,0,0,0,0,0,0,0.4997628625217329
29,236,452,12,0,3000,12,0,0,0,0,0,0,401.233,400.741,400.72,0,0,0,1.9999040000000008,22.24171,1,0,0.0,0,0,0,0,0,0,0,0.5000240011520551
30,236,452,13,0,3000,12,0,0,0,0,0,0,401.233,400.741,400.72,0,0,0,2.000131999999997,24.241842,1,0,0.0,0,0,0,0,0,0,0,0.499967002177857
31,236,452,14,0,3000,12,0,0,0,0,0,0,401.233,400.741,400.72,0,0,0,1.999969,26.241811,1,0,0.0,0,0,0,0,0,0,0,0.5000077501201269
32,236,452,15,0,3000,12,0,0,0,0,0,0,401.233,400.741,400.72,0,0,0,2.000107,28.241918,1,0,0.0,0,0,0,0,0,0,0,0.4999732514310485
33,236,452,16,0,3000,12,0,0,0,0,0,0,401.233,400.741,400.72,0,0,0,2.000233000000001,30.242151,1,0,0.0,0,0,0,0,0,0,0,0.49994175678533426
34,236,452,17,0,3000,12,0,0,0,0,0,0,401.233,400.741,400.72,0,0,0,2.000109000000002,32.24226,1,0,0.0,0,0,0,0,0,0,0,0.4999727514850436
35,236,453,0,0,3000,12,0,0,0,0,0,0,401.688,400.991,400.989,0,0,0,0.4367499999999964,32.67901,-17,1,19000000000.0,0,0,0,0,0,0,0,2.289639381797386
36,236,453,1,0,3000,12,0,0,0,0,0,0,401.688,400.991,400.989,0,0,0,0.0103709999999992,32.689381,1,0,0.0,0,0,0,0,0,0,0,96.42271719217791
37,236,453,2,0,3000,12,0,0,0,0,0,0,401.688,400.991,400.989,0,0,0,0.0100000000000051,32.699381,1,0,0.0,0,0,0,0,0,0,0,99.999999999949
38,236,453,3,0,3000,12,0,0,0,0,0,0,401.688,400.991,400.989,0,0,0,0.0197499999999948,32.719131,1,0,0.0,0,0,0,0,0,0,0,50.63291139241839
39,236,453,4,0,3000,12,0,0,0,0,0,0,401.688,400.991,400.989,0,0,0,0.0404780000000002,32.759609,1,0,0.0,0,0,0,0,0,0,0,24.70477790404652
40,236,453,5,0,3000,12,0,0,0,0,0,0,401.688,400.991,400.989,0,0,0,0.0795220000000043,32.839131,1,0,0.0,0,0,0,0,0,0,0,12.575136440229697
41,236,453,6,0,3000,12,0,0,0,0,0,0,401.688,400.991,400.989,0,0,0,0.1598739999999949,32.999005,1,0,0.0,0,0,0,0,0,0,0,6.254925754031499
42,236,453,7,0,3000,12,0,0,0,0,0,0,401.688,400.991,400.989,0,0,0,0.3208669999999998,33.319872,1,0,0.0,0,0,0,0,0,0,0,3.116556080868399
43,236,453,8,0,3000,12,0,0,0,0,0,0,401.688,400.991,400.989,0,0,0,0.6392530000000036,33.959125,1,0,0.0,0,0,0,0,0,0,0,1.5643258615915676
44,236,453,9,0,3000,12,0,0,0,0,0,0,401.688,400.991,400.989,0,0,0,1.2801279999999975,35.239253,1,0,0.0,0,0,0,0,0,0,0,0.7811718828117203
45,236,453,10,0,3000,12,0,0,0,0,0,0,401.688,400.991,400.989,0,0,0,2.000233000000001,37.239486,1,0,0.0,0,0,0,0,0,0,0,0.49994175678533426
46,236,453,11,0,3000,12,0,0,0,0,0,0,401.688,400.991,400.989,0,0,0,1.9999800000000008,39.239466,1,0,0.0,0,0,0,0,0,0,0,0.5000050000500003
47,236,453,12,0,3000,12,0,0,0,0,0,0,401.688,400.991,400.989,0,0,0,1.999611999999999,41.239078,1,0,0.0,0,0,0,0,0,0,0,0.5000970188216516
48,236,453,13,0,3000,12,0,0,0,0,0,0,401.688,400.991,400.989,0,0,0,1.9998610000000028,43.238939,1,0,0.0,0,0,0,0,0,0,0,0.5000347524152922
49,236,453,14,0,3000,12,0,0,0,0,0,0,401.688,400.991,400.989,0,0,0,2.0003600000000006,45.239299,1,0,0.0,0,0,0,0,0,0,0,0.49991001619708436
50,236,453,15,0,3000,12,0,0,0,0,0,0,401.688,400.991,400.989,0,0,0,2.0006109999999997,47.23991,1,0,0.0,0,0,0,0,0,0,0,0.49984729665087324
51,236,454,0,0,3000,12,0,0,0,0,0,0,401.66,401.098,401.128,0,0,0,0.939231999999997,48.179142,-15,1,15500000000.0,0,0,0,0,0,0,0,1.064699669517226
52,236,454,1,0,3000,12,0,0,0,0,0,0,401.66,401.098,401.128,0,0,0,0.0112470000000044,48.190389,1,0,0.0,0,0,0,0,0,0,0,88.91259891523151
53,236,454,2,0,3000,12,0,0,0,0,0,0,401.66,401.098,401.128,0,0,0,0.0107439999999954,48.201133,1,0,0.0,0,0,0,0,0,0,0,93.07520476549034
54,236,454,3,0,3000,12,0,0,0,0,0,0,401.66,401.098,401.128,0,0,0,0.0199780000000018,48.221111,1,0,0.0,0,0,0,0,0,0,0,50.05506056661878
55,236,454,4,0,3000,12,0,0,0,0,0,0,401.66,401.098,401.128,0,0,0,0.04054,48.261651,1,0,0.0,0,0,0,0,0,0,0,24.666995559940798
56,236,454,5,0,3000,12,0,0,0,0,0,0,401.66,401.098,401.128,0,0,0,0.0802389999999988,48.34189,1,0,0.0,0,0,0,0,0,0,0,12.462767482147273
57,236,454,6,0,3000,12,0,0,0,0,0,0,401.66,401.098,401.128,0,0,0,0.1602389999999971,48.502129,1,0,0.0,0,0,0,0,0,0,0,6.240677987256649
58,236,454,7,0,3000,12,0,0,0,0,0,0,401.66,401.098,401.128,0,0,0,0.3204980000000006,48.822627,1,0,0.0,0,0,0,0,0,0,0,3.120144275471292
59,236,454,8,0,3000,12,0,0,0,0,0,0,401.66,401.098,401.128,0,0,0,0.6394970000000058,49.462124,1,0,0.0,0,0,0,0,0,0,0,1.5637289932556229
60,236,454,9,0,3000,12,0,0,0,0,0,0,401.66,401.098,401.128,0,0,0,1.2804819999999992,50.742606,1,0,0.0,0,0,0,0,0,0,0,0.7809559212858912
61,236,454,10,0,3000,12,0,0,0,0,0,0,401.66,401.098,401.128,0,0,0,2.0003619999999955,52.742968,1,0,0.0,0,0,0,0,0,0,0,0.4999095163775368
62,236,454,11,0,3000,12,0,0,0,0,0,0,401.66,401.098,401.128,0,0,0,1.999727,54.742695,1,0,0.0,0,0,0,0,0,0,0,0.5000682593173968
